season,week,Away Team,Home Team,Gel,Hector,Emilio,Sonny
2003,1,ATL,DAL,DAL,ATL,DAL,DAL
2003,1,NE,BUF,BUF,BUF,NE,BUF
2003,1,JAX,CAR,JAX,JAX,JAX,CAR
2003,1,DEN,CIN,DEN,DEN,DEN,DEN
2003,1,ARI,DET,DET,ARI,DET,ARI
2003,1,LA,NYG,LA,NYG,LA,LA
2003,1,HOU,MIA,MIA,MIA,MIA,MIA
2003,1,IND,CLE,IND,CLE,IND,CLE
2003,1,LAC,KC,KC,KC,KC,KC
2003,1,MIN,GB,GB,GB,GB,GB
2003,1,BAL,PIT,PIT,PIT,PIT,PIT
2003,1,NO,SEA,SEA,NO,NO,NO
2003,1,CHI,SF,SF,SF,CHI,SF
2003,1,TB,PHI,TB,TB,TB,PHI
2003,1,LV,TEN,TEN,TEN,LV,TEN
2003,1,NYJ,WAS,WAS,WAS,NYJ,WAS
2003,2,CLE,BAL,BAL,CLE,CLE,BAL
2003,2,BUF,JAX,JAX,BUF,JAX,BUF
2003,2,CAR,TB,TB,CAR,TB,TB
2003,2,DAL,NYG,NYG,NYG,DAL,NYG
2003,2,DEN,LAC,DEN,DEN,DEN,DEN
2003,2,DET,GB,GB,GB,GB,GB
2003,2,TEN,IND,TEN,IND,TEN,IND
2003,2,PIT,KC,KC,PIT,KC,PIT
2003,2,MIA,NYJ,NYJ,NYJ,MIA,NYJ
2003,2,CHI,MIN,MIN,MIN,MIN,MIN
2003,2,NE,PHI,PHI,NE,PHI,PHI
2003,2,HOU,NO,HOU,HOU,HOU,NO
2003,2,CIN,LV,LV,LV,LV,LV
2003,2,SEA,ARI,SEA,ARI,SEA,SEA
2003,2,SF,LA,SF,SF,SF,LA
2003,2,WAS,ATL,WAS,ATL,WAS,ATL
2003,3,GB,ARI,GB,GB,GB,GB
2003,3,BAL,LAC,BAL,LAC,LAC,LAC
2003,3,CLE,SF,SF,SF,SF,SF
2003,3,LV,DEN,LV,DEN,DEN,DEN
2003,3,NYG,WAS,WAS,WAS,WAS,WAS
2003,3,JAX,IND,IND,IND,JAX,IND
2003,3,KC,HOU,HOU,KC,KC,KC
2003,3,BUF,MIA,BUF,MIA,MIA,BUF
2003,3,MIN,DET,MIN,MIN,MIN,MIN
2003,3,NYJ,NE,NE,NYJ,NYJ,NE
2003,3,PIT,CIN,PIT,PIT,PIT,PIT
2003,3,LA,SEA,SEA,LA,LA,LA
2003,3,TB,ATL,TB,TB,TB,TB
2003,3,NO,TEN,TEN,TEN,TEN,TEN
2003,4,ATL,CAR,CAR,ATL,ATL,CAR
2003,4,CIN,CLE,CLE,CIN,CLE,CLE
2003,4,DAL,NYJ,DAL,NYJ,DAL,DAL
2003,4,DET,DEN,DEN,DEN,DEN,DEN
2003,4,GB,CHI,GB,GB,GB,GB
2003,4,JAX,HOU,HOU,HOU,JAX,JAX
2003,4,IND,NO,IND,IND,IND,IND
2003,4,KC,BAL,KC,KC,KC,BAL
2003,4,SF,MIN,MIN,SF,SF,MIN
2003,4,LAC,LV,LV,LAC,LV,LV
2003,4,PHI,BUF,BUF,BUF,PHI,BUF
2003,4,ARI,LA,LA,LA,LA,LA
2003,4,TEN,PIT,TEN,TEN,TEN,TEN
2003,4,NE,WAS,WAS,NE,WAS,WAS
2003,5,CIN,BUF,BUF,BUF,CIN,BUF
2003,5,NO,CAR,CAR,CAR,NO,CAR
2003,5,LV,CHI,LV,LV,LV,LV
2003,5,CLE,PIT,PIT,PIT,CLE,PIT
2003,5,ARI,DAL,DAL,DAL,DAL,DAL
2003,5,SEA,GB,GB,SEA,GB,GB
2003,5,IND,TB,IND,TB,IND,TB
2003,5,LAC,JAX,JAX,JAX,LAC,JAX
2003,5,DEN,KC,KC,DEN,DEN,DEN
2003,5,MIA,NYG,MIA,NYG,MIA,NYG
2003,5,MIN,ATL,MIN,MIN,MIN,MIN
2003,5,TEN,NE,TEN,TEN,TEN,TEN
2003,5,WAS,PHI,PHI,WAS,WAS,PHI
2003,5,DET,SF,SF,SF,DET,SF
2003,6,BAL,ARI,BAL,BAL,BAL,BAL
2003,6,CAR,IND,IND,IND,IND,IND
2003,6,LV,CLE,LV,LV,CLE,CLE
2003,6,PHI,DAL,DAL,DAL,DAL,PHI
2003,6,PIT,DEN,DEN,DEN,DEN,DEN
2003,6,BUF,NYJ,BUF,BUF,NYJ,NYJ
2003,6,KC,GB,KC,KC,GB,GB
2003,6,MIA,JAX,MIA,MIA,MIA,MIA
2003,6,NYG,NE,NE,NE,NYG,NE
2003,6,CHI,NO,NO,CHI,CHI,NO
2003,6,SF,SEA,SEA,SEA,SF,SF
2003,6,ATL,LA,LA,LA,LA,LA
2003,6,TB,WAS,WAS,TB,TB,TB
2003,6,HOU,TEN,TEN,TEN,TEN,TEN
2003,7,WAS,BUF,BUF,BUF,WAS,BUF
2003,7,BAL,CIN,BAL,BAL,BAL,BAL
2003,7,DAL,DET,DAL,DAL,DAL,DAL
2003,7,NYJ,HOU,HOU,NYJ,NYJ,NYJ
2003,7,KC,LV,KC,KC,KC,KC
2003,7,DEN,MIN,MIN,DEN,DEN,MIN
2003,7,NE,MIA,MIA,NE,MIA,MIA
2003,7,NO,ATL,ATL,ATL,ATL,NO
2003,7,PHI,NYG,NYG,NYG,PHI,PHI
2003,7,LAC,CLE,CLE,CLE,CLE,CLE
2003,7,CHI,SEA,SEA,SEA,SEA,SEA
2003,7,TB,SF,SF,TB,TB,TB
2003,7,GB,LA,LA,GB,GB,GB
2003,7,TEN,CAR,CAR,TEN,TEN,CAR
2003,8,SF,ARI,SF,SF,SF,SF
2003,8,DEN,BAL,DEN,DEN,DEN,DEN
2003,8,CAR,NO,CAR,CAR,NO,CAR
2003,8,DET,CHI,CHI,DET,DET,CHI
2003,8,SEA,CIN,SEA,CIN,SEA,SEA
2003,8,NYG,MIN,MIN,MIN,NYG,MIN
2003,8,HOU,IND,IND,IND,IND,IND
2003,8,BUF,KC,KC,KC,KC,KC
2003,8,MIA,LAC,MIA,MIA,MIA,MIA
2003,8,CLE,NE,NE,NE,CLE,NE
2003,8,NYJ,PHI,PHI,NYJ,PHI,PHI
2003,8,LA,PIT,LA,PIT,LA,LA
2003,8,DAL,TB,DAL,TB,DAL,TB
2003,8,TEN,JAX,TEN,TEN,TEN,TEN
2003,9,CIN,ARI,CIN,CIN,CIN,ARI
2003,9,JAX,BAL,BAL,BAL,BAL,BAL
2003,9,LAC,CHI,CHI,CHI,LAC,LAC
2003,9,WAS,DAL,DAL,WAS,WAS,DAL
2003,9,LV,DET,LV,LV,DET,LV
2003,9,GB,MIN,MIN,MIN,GB,MIN
2003,9,NYG,NYJ,NYG,NYG,NYJ,NYG
2003,9,CAR,HOU,CAR,CAR,HOU,CAR
2003,9,IND,MIA,MIA,IND,MIA,MIA
2003,9,NE,DEN,DEN,DEN,DEN,DEN
2003,9,NO,TB,TB,TB,TB,TB
2003,9,PHI,ATL,PHI,PHI,PHI,PHI
2003,9,PIT,SEA,SEA,SEA,PIT,SEA
2003,9,LA,SF,LA,SF,LA,LA
2003,10,ATL,NYG,NYG,NYG,NYG,NYG
2003,10,TB,CAR,CAR,TB,TB,TB
2003,10,HOU,CIN,HOU,CIN,CIN,CIN
2003,10,BUF,DAL,DAL,BUF,DAL,DAL
2003,10,CHI,DET,DET,DET,DET,CHI
2003,10,IND,JAX,IND,IND,IND,IND
2003,10,NYJ,LV,LV,NYJ,NYJ,LV
2003,10,CLE,KC,KC,CLE,KC,KC
2003,10,PHI,GB,GB,PHI,GB,PHI
2003,10,ARI,PIT,PIT,PIT,PIT,PIT
2003,10,MIN,LAC,MIN,LAC,MIN,MIN
2003,10,BAL,LA,LA,LA,LA,LA
2003,10,MIA,TEN,TEN,TEN,TEN,TEN
2003,10,SEA,WAS,SEA,WAS,SEA,WAS
2003,11,WAS,CAR,CAR,WAS,WAS,CAR
2003,11,ARI,CLE,CLE,CLE,CLE,CLE
2003,11,KC,CIN,KC,KC,CIN,KC
2003,11,LAC,DEN,DEN,DEN,DEN,DEN
2003,11,GB,TB,GB,TB,GB,TB
2003,11,HOU,BUF,BUF,HOU,HOU,BUF
2003,11,NYJ,IND,IND,IND,NYJ,IND
2003,11,BAL,MIA,MIA,MIA,MIA,MIA
2003,11,DAL,NE,DAL,NE,NE,NE
2003,11,ATL,NO,NO,ATL,ATL,NO
2003,11,MIN,LV,MIN,MIN,LV,MIN
2003,11,NYG,PHI,PHI,PHI,PHI,PHI
2003,11,DET,SEA,SEA,DET,DET,SEA
2003,11,PIT,SF,SF,PIT,SF,SF
2003,11,LA,CHI,LA,LA,LA,LA
2003,11,JAX,TEN,TEN,TEN,TEN,TEN
2003,12,SEA,BAL,SEA,SEA,SEA,BAL
2003,12,CHI,DEN,DEN,DEN,DEN,DEN
2003,12,CIN,LAC,CIN,CIN,CIN,CIN
2003,12,CAR,DAL,DAL,DAL,DAL,DAL
2003,12,SF,GB,GB,GB,GB,GB
2003,12,IND,BUF,IND,IND,IND,IND
2003,12,JAX,NYJ,NYJ,NYJ,NYJ,NYJ
2003,12,LV,KC,KC,KC,KC,KC
2003,12,WAS,MIA,MIA,MIA,MIA,MIA
2003,12,DET,MIN,MIN,MIN,MIN,MIN
2003,12,NE,HOU,NE,NE,HOU,NE
2003,12,NO,PHI,PHI,PHI,PHI,PHI
2003,12,PIT,CLE,CLE,PIT,CLE,CLE
2003,12,LA,ARI,LA,LA,LA,LA
2003,12,NYG,TB,TB,TB,TB,TB
2003,12,TEN,ATL,TEN,TEN,TEN,TEN
2003,13,SF,BAL,BAL,BAL,BAL,SF
2003,13,BUF,NYG,BUF,NYG,BUF,NYG
2003,13,ARI,CHI,ARI,CHI,ARI,CHI
2003,13,CIN,PIT,CIN,CIN,CIN,PIT
2003,13,DEN,LV,DEN,DEN,DEN,DEN
2003,13,GB,DET,GB,DET,GB,GB
2003,13,ATL,HOU,HOU,HOU,ATL,HOU
2003,13,TB,JAX,TB,TB,TB,TB
2003,13,TEN,NYJ,TEN,TEN,TEN,TEN
2003,13,KC,LAC,KC,KC,KC,KC
2003,13,MIA,DAL,DAL,DAL,DAL,DAL
2003,13,NE,IND,IND,NE,NE,IND
2003,13,NO,WAS,NO,WAS,NO,WAS
2003,13,PHI,CAR,CAR,PHI,PHI,PHI
2003,13,CLE,SEA,CLE,SEA,CLE,SEA
2003,13,MIN,LA,LA,MIN,MIN,LA
2003,14,CAR,ATL,CAR,CAR,ATL,ATL
2003,14,CIN,BAL,BAL,CIN,CIN,BAL
2003,14,NYJ,BUF,BUF,NYJ,NYJ,BUF
2003,14,KC,DEN,DEN,DEN,DEN,DEN
2003,14,CHI,GB,GB,GB,GB,GB
2003,14,IND,TEN,TEN,TEN,TEN,IND
2003,14,HOU,JAX,HOU,HOU,HOU,JAX
2003,14,SEA,MIN,MIN,MIN,SEA,MIN
2003,14,MIA,NE,NE,NE,MIA,NE
2003,14,DAL,PHI,PHI,PHI,PHI,PHI
2003,14,LV,PIT,LV,PIT,LV,PIT
2003,14,LAC,DET,DET,LAC,LAC,LAC
2003,14,ARI,SF,SF,ARI,SF,SF
2003,14,LA,CLE,LA,CLE,LA,LA
2003,14,TB,NO,NO,TB,TB,NO
2003,14,WAS,NYG,NYG,WAS,WAS,NYG
2003,15,CAR,ARI,CAR,CAR,CAR,CAR
2003,15,MIN,CHI,MIN,MIN,MIN,MIN
2003,15,SF,CIN,SF,CIN,CIN,CIN
2003,15,DAL,WAS,DAL,WAS,DAL,WAS
2003,15,CLE,DEN,DEN,DEN,DEN,DEN
2003,15,GB,LAC,GB,GB,GB,GB
2003,15,ATL,IND,IND,IND,IND,IND
2003,15,PIT,NYJ,PIT,NYJ,PIT,NYJ
2003,15,DET,KC,KC,KC,KC,KC
2003,15,JAX,NE,NE,NE,NE,NE
2003,15,NYG,NO,NO,NYG,NO,NO
2003,15,BAL,LV,BAL,BAL,BAL,BAL
2003,15,PHI,MIA,MIA,MIA,MIA,MIA
2003,15,SEA,LA,LA,LA,SEA,LA
2003,15,HOU,TB,TB,TB,TB,TB
2003,15,BUF,TEN,TEN,TEN,TEN,TEN
2003,16,ATL,TB,TB,TB,TB,TB
2003,16,BAL,CLE,BAL,CLE,CLE,CLE
2003,16,DET,CAR,CAR,CAR,DET,CAR
2003,16,WAS,CHI,CHI,CHI,WAS,CHI
2003,16,NYG,DAL,DAL,DAL,DAL,DAL
2003,16,DEN,IND,IND,DEN,DEN,IND
2003,16,GB,LV,LV,GB,GB,GB
2003,16,NO,JAX,NO,NO,JAX,JAX
2003,16,MIA,BUF,MIA,MIA,MIA,BUF
2003,16,KC,MIN,KC,KC,KC,KC
2003,16,NE,NYJ,NE,NE,NYJ,NE
2003,16,LAC,PIT,PIT,PIT,PIT,PIT
2003,16,ARI,SEA,SEA,SEA,SEA,SEA
2003,16,SF,PHI,PHI,PHI,PHI,PHI
2003,16,CIN,LA,LA,LA,LA,LA
2003,16,TEN,HOU,TEN,TEN,TEN,TEN
2003,17,JAX,ATL,JAX,JAX,JAX,ATL
2003,17,MIN,ARI,MIN,MIN,ARI,MIN
2003,17,PIT,BAL,BAL,BAL,PIT,BAL
2003,17,CAR,NYG,CAR,NYG,NYG,CAR
2003,17,CLE,CIN,CIN,CLE,CIN,CIN
2003,17,LA,DET,LA,LA,DET,LA
2003,17,DEN,GB,DEN,DEN,GB,GB
2003,17,IND,HOU,IND,IND,IND,IND
2003,17,CHI,KC,KC,KC,KC,KC
2003,17,NYJ,MIA,MIA,NYJ,MIA,MIA
2003,17,BUF,NE,NE,NE,NE,NE
2003,17,DAL,NO,DAL,NO,DAL,DAL
2003,17,PHI,WAS,PHI,PHI,PHI,PHI
2003,17,LV,LAC,LAC,LV,LAC,LAC
2003,17,SEA,SF,SF,SEA,SEA,SF
2003,17,TB,TEN,TEN,TEN,TEN,TEN
2003,18,DAL,CAR,CAR,CAR,DAL,DAL
2003,18,CAR,LA,LA,LA,LA,LA
2003,18,CAR,PHI,PHI,PHI,PHI,PHI
2003,18,SEA,GB,GB,SEA,GB,GB
2003,18,DEN,IND,IND,DEN,DEN,IND
2003,18,IND,KC,KC,KC,KC,KC
2003,18,TEN,NE,NE,TEN,TEN,NE
2003,18,IND,NE,NE,NE,IND,IND
2003,18,CAR,NE,NE,NE,CAR,NE
2003,18,GB,PHI,PHI,PHI,GB,GB
2003,18,TEN,BAL,BAL,TEN,TEN,TEN
2004,1,ATL,SF,SF,SF,ATL,ATL
2004,1,BAL,CLE,BAL,BAL,CLE,CLE
