,abbreviation,full_name,nick_name,conference,division,city_state_region,season,venue,logo
2,WAS,Washington Redskins,Redskins,NFC,NFC_EAST,Washington,2015,,WAS_logo_old.png
3,TB,Tampa Bay Buccaneers,Buccaneers,NFC,NFC_SOUTH,Tampa Bay,2015,,TB_logo.webp
4,SEA,Seattle Seahawks,Seahawks,NFC,NFC_WEST,Seattle,2015,,SEA_logo.webp
5,SF,San Francisco 49ers,49ers,NFC,NFC_WEST,San Francisco,2015,,SF_logo.webp
6,LAC,San Diego Chargers,Chargers,AFC,AFC_WEST,San Diego,2015,,LAC_logo.webp
7,PIT,Pittsburgh Steelers,Steelers,AFC,AFC_NORTH,Pittsburgh,2015,,PIT_logo.webp
8,ARI,Arizona Cardinals,Cardinals,NFC,NFC_WEST,Arizona,2015,,ARI_logo.webp
9,PHI,Philadelphia Eagles,Eagles,NFC,NFC_EAST,Philadelphia,2015,,PHI_logo.webp
10,NYJ,New York Jets,Jets,AFC,AFC_EAST,New York Jets,2015,,NYJ_logo_old.png
11,NYG,New York Giants,Giants,NFC,NFC_EAST,New York Giants,2015,,NYG_logo.png
12,NO,New Orleans Saints,Saints,NFC,NFC_SOUTH,New Orleans,2015,,NO_logo.webp
13,NE,New England Patriots,Patriots,AFC,AFC_EAST,New England,2015,,NE_logo.webp
14,MIN,Minnesota Vikings,Vikings,NFC,NFC_NORTH,Minnesota,2015,,MIN_logo.webp
15,MIA,Miami Dolphins,Dolphins,AFC,AFC_EAST,Miami,2015,,MIA_logo.webp
16,LV,Oakland Raiders,Raiders,AFC,AFC_WEST,Oakland,2015,,LV_logo.webp
17,LA,St. Louis Rams,Rams,NFC,NFC_WEST,St. Louis,2015,,LA_logo_old.png
18,KC,Kansas City Chiefs,Chiefs,AFC,AFC_WEST,Kansas City,2015,,KC_logo.webp
19,JAX,Jacksonville Jaguars,Jaguars,AFC,AFC_SOUTH,Jacksonville,2015,,JAX_logo.webp
20,IND,Indianapolis Colts,Colts,AFC,AFC_SOUTH,Indianapolis,2015,,IND_logo.webp
21,HOU,Houston Texans,Texans,AFC,AFC_SOUTH,Houston,2015,,HOU_logo.webp
22,TEN,Tennessee Titans,Titans,AFC,AFC_SOUTH,Tennessee,2015,,TEN_logo.webp
23,GB,Green Bay Packers,Packers,NFC,NFC_NORTH,Green Bay,2015,,GB_logo.webp
24,DET,Detroit Lions,Lions,NFC,NFC_NORTH,Detroit,2015,,DET_logo.webp
25,DEN,Denver Broncos,Broncos,AFC,AFC_WEST,Denver,2015,,DEN_logo.webp
26,DAL,Dallas Cowboys,Cowboys,NFC,NFC_EAST,Dallas,2015,,DAL_logo.webp
27,CLE,Cleveland Browns,Browns,AFC,AFC_NORTH,Cleveland,2015,,CLE_logo.webp
28,CIN,Cincinnati Bengals,Bengals,AFC,AFC_NORTH,Cincinnati,2015,,CIN_logo.webp
29,CHI,Chicago Bears,Bears,NFC,NFC_NORTH,Chicago,2015,,CHI_logo.webp
30,CAR,Carolina Panthers,Panthers,NFC,NFC_SOUTH,Carolina,2015,,CAR_logo.webp
31,BUF,Buffalo Bills,Bills,AFC,AFC_EAST,Buffalo,2015,,BUF_logo.webp
32,BAL,Baltimore Ravens,Ravens,AFC,AFC_NORTH,Baltimore,2015,,BAL_logo.webp
33,ATL,Atlanta Falcons,Falcons,NFC,NFC_SOUTH,Atlanta,2015,,ATL_logo.webp
